"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","登录测试","3","0","登录失败","0"
"0","","0","搜索测试","1","0","搜索成功","0"
"0","","0","搜索测试","1","0","搜索失败","0"
"0","","0","登录测试","1","0","登录成功","0"
